m,n,Raiz
0,1,3.831705970207512
0,2,7.015586669815619
0,3,10.173468135062722
0,4,13.323691936314223
0,5,16.470630050877634
0,6,19.615858510468243
0,7,22.760084380592772
0,8,25.903672087618382
0,9,29.046828534916855
0,10,32.189679910974405
1,1,1.841183781340659
1,2,5.331442773525032
1,3,8.536316366346286
1,4,11.706004902592063
1,5,14.863588633909032
1,6,18.015527862681804
1,7,21.164369859188788
1,8,24.311326857210776
1,9,27.457050571059245
1,10,30.601922972669094
2,1,3.054236928227140
2,2,6.706133194158459
2,3,9.969467823087596
2,4,13.170370856016124
2,5,16.347522318321783
2,6,19.512912782488204
2,7,22.671581772477424
2,8,25.826037141785264
2,9,28.977672772993678
2,10,32.127327020443474
3,1,4.201188941210528
3,2,8.015236598375953
3,3,11.345924310743007
3,4,14.585848286167028
3,5,17.788747866066469
3,6,20.972476936537699
3,7,24.144897432909264
3,8,27.310057930204348
3,9,30.470268806290424
3,10,33.626949182796679
4,1,5.317553126083994
4,2,9.282396285241614
4,3,12.681908442638891
4,4,15.964107037731551
4,5,19.196028800048904
4,6,22.401032267689004
4,7,25.589759681386735
4,8,28.767836217666503
4,9,31.938539340972785
4,10,35.103916677346767
5,1,6.415616375700241
5,2,10.519860873772309
5,3,13.987188630140301
5,4,17.312842487884627
5,5,20.575514521386889
5,6,23.803581476593862
5,7,27.010307897777718
5,8,30.202849078981661
5,9,33.385443901010120
5,10,36.560777686880357
6,1,7.501266144684148
6,2,11.734935953042708
6,3,15.268181461097873
6,4,18.637443009666203
6,5,21.931715017802237
6,6,25.183925599499624
6,7,28.409776362510087
6,8,31.617875716105036
6,9,34.813392984297430
6,10,37.999640897715302
7,1,8.577836489714073
7,2,12.932386237089576
7,3,16.529365884366943
7,4,19.941853366527340
7,5,23.268052926457571
7,6,26.545032061823576
7,7,29.790748583196613
7,8,33.015178641375144
7,9,36.224380548787160
7,10,39.422274578939259
8,1,9.647421651997217
8,2,14.115518907894620
8,3,17.774012366915258
8,4,21.229062622853125
8,5,24.587197486317681
8,6,27.889269427955092
8,7,31.155326556188324
8,8,34.396628554272183
8,9,37.620078044197086
8,10,40.830178681822041
9,1,10.711433970699947
9,2,15.286737667332950
9,3,19.004593537946054
9,4,22.501398726777282
9,5,25.891277276839133
9,6,29.218563499936081
9,7,32.505247352375527
9,8,35.763792928808797
9,9,39.001902811514221
9,10,42.224638430753281
10,1,11.770876674955582
10,2,16.447852748486497
10,3,20.223031412681699
10,4,23.760715860327448
10,5,27.182021527190532
10,6,30.534504754007074
10,7,33.841965775135712
10,8,37.118000423665606
10,9,40.371068905333892
10,10,43.606764901379513
