m,n,Raiz
0,1,2.404825557695773
0,2,5.520078110286311
0,3,8.653727912911013
0,4,11.791534439014281
0,5,14.930917708487787
0,6,18.071063967910924
0,7,21.211636629879258
0,8,24.352471530749302
0,9,27.493479132040257
0,10,30.634606468431976
1,1,3.831705970207512
1,2,7.015586669815619
1,3,10.173468135062722
1,4,13.323691936314223
1,5,16.470630050877634
1,6,19.615858510468243
1,7,22.760084380592772
1,8,25.903672087618382
1,9,29.046828534916855
1,10,32.189679910974405
2,1,5.135622301840683
2,2,8.417244140399864
2,3,11.619841172149060
2,4,14.795951782351262
2,5,17.959819494987826
2,6,21.116997053021844
2,7,24.270112313573105
2,8,27.420573549984557
2,9,30.569204495516395
2,10,33.716519509222699
3,1,6.380161895923984
3,2,9.761023129981670
3,3,13.015200721698434
3,4,16.223466160318768
3,5,19.409415226435012
3,6,22.582729593104443
3,7,25.748166699294977
3,8,28.908350780921758
3,9,32.064852407097710
3,10,35.218670738610115
4,1,7.588342434503804
4,2,11.064709488501185
4,3,14.372536671617590
4,4,17.615966049804832
4,5,20.826932956962388
4,6,24.019019524771110
4,7,27.199087765981250
4,8,30.371007667117247
4,9,33.537137711819220
4,10,36.699001128744648
5,1,8.771483815959954
5,2,12.338604197466944
5,3,15.700174079711671
5,4,18.980133875179920
5,5,22.217799896561267
5,6,25.430341154222706
5,7,28.626618307291139
5,8,31.811716724047763
5,9,34.988781294559296
5,10,38.159868561967130
6,1,9.936109524217684
6,2,13.589290170541217
6,3,17.003819667816014
6,4,20.320789213566506
6,5,23.586084435581391
6,6,26.820151983411403
6,7,30.033722386570467
6,8,33.233041762847122
6,9,36.422019668258457
6,10,39.603239416075404
7,1,11.086370019245084
7,2,14.821268727013171
7,3,18.287582832481728
7,4,21.641541019848400
7,5,24.934927887673023
7,6,28.191188459483200
7,7,31.422794192265581
7,8,34.637089352069324
7,9,37.838717382853609
7,10,41.030773691585537
8,1,12.225092264004656
8,2,16.037774190887710
8,3,19.554536430997054
8,4,22.945173131874618
8,5,26.266814641176644
8,6,29.545659670998550
8,7,32.795800037341465
8,8,36.025615063869573
8,9,39.240447995178137
8,10,42.443887743273557
9,1,13.354300477435331
9,2,17.241220382489129
9,3,20.807047789264107
9,4,24.233885257750551
9,5,27.583748963573008
9,6,30.885378967696674
9,7,34.154377923855094
9,8,37.400099977156586
9,9,40.628553718964525
9,10,43.843801420337350
10,1,14.475500686554541
10,2,18.433463666966581
10,3,22.046985364697800
10,4,25.509450554182827
10,5,28.887375063530456
10,6,32.211856199712727
10,7,35.499909205373854
10,8,38.761807017881651
10,9,42.004190236671803
10,10,45.231574103535046
