Modo,Frequência (GHz)
1,
2,5.4818087094168475e-05
3,5.7628657603828844e-05
4,5.790316764512685e-05
5,6.45036463548502e-05
6,6.499881600557441e-05
7,6.549930155063152e-05
8,6.970095150010885e-05
9,7.063712338161837e-05
10,7.159068443275657e-05
11,7.319354990627358e-05
12,7.613140107312788e-05
13,7.788002957571588e-05
14,7.869967161514452e-05
15,8.005482647992499e-05
16,8.052506086909551e-05
17,8.099932321585102e-05
18,8.236035860591893e-05
19,8.26853515332758e-05
20,8.318913199136549e-05
21,8.369829277482505e-05
22,8.392998606303475e-05
23,8.413967582558263e-05
24,8.476404570091016e-05
